timestamp,cpu_perc,mem_usage,mem_perc
1763054637,0.00%,4.297MiB / 15.56GiB,0.03%
1763054640,0.60%,6.887MiB / 15.56GiB,0.04%
1763054642,0.77%,7.164MiB / 15.56GiB,0.04%
1763054645,1.15%,6.844MiB / 15.56GiB,0.04%
1763054647,1.47%,7.48MiB / 15.56GiB,0.05%
1763054650,1.41%,8.516MiB / 15.56GiB,0.05%
1763054652,1.47%,8.402MiB / 15.56GiB,0.05%
1763054655,1.36%,8.152MiB / 15.56GiB,0.05%
1763054657,1.40%,8.328MiB / 15.56GiB,0.05%
1763054660,1.34%,7.812MiB / 15.56GiB,0.05%
1763054662,1.30%,8.098MiB / 15.56GiB,0.05%
1763054665,1.51%,7.516MiB / 15.56GiB,0.05%
1763054667,1.42%,7.289MiB / 15.56GiB,0.05%
1763054670,1.30%,8.492MiB / 15.56GiB,0.05%
1763054672,1.51%,8.855MiB / 15.56GiB,0.06%
1763054675,1.24%,8.195MiB / 15.56GiB,0.05%
1763054677,1.34%,8.496MiB / 15.56GiB,0.05%
1763054680,1.29%,8.141MiB / 15.56GiB,0.05%
1763054683,0.96%,8.227MiB / 15.56GiB,0.05%
1763054685,0.75%,7.996MiB / 15.56GiB,0.05%
1763054688,0.45%,7.449MiB / 15.56GiB,0.05%
1763054690,0.15%,7.797MiB / 15.56GiB,0.05%
1763054693,0.00%,7.953MiB / 15.56GiB,0.05%
1763054696,0.00%,7.18MiB / 15.56GiB,0.05%
1763054704,0.00%,7.18MiB / 15.56GiB,0.05%
1763054709,0.00%,7.047MiB / 15.56GiB,0.04%
1763054711,0.00%,7.047MiB / 15.56GiB,0.04%
1763054714,0.00%,6.816MiB / 15.56GiB,0.04%
1763054716,0.00%,6.816MiB / 15.56GiB,0.04%
1763054719,0.00%,6.816MiB / 15.56GiB,0.04%
1763054721,0.00%,6.816MiB / 15.56GiB,0.04%
