timestamp,cpu_perc,mem_usage,mem_perc
1763053757,0.07%,323.7MiB / 15.56GiB,2.03%
1763053760,17.46%,326MiB / 15.56GiB,2.05%
1763053762,44.54%,330.1MiB / 15.56GiB,2.07%
1763053765,64.92%,334.9MiB / 15.56GiB,2.10%
1763053767,105.62%,343.8MiB / 15.56GiB,2.16%
1763053770,89.64%,344.2MiB / 15.56GiB,2.16%
1763053772,61.98%,352.9MiB / 15.56GiB,2.21%
1763053775,63.12%,350.7MiB / 15.56GiB,2.20%
1763053777,71.79%,351.1MiB / 15.56GiB,2.20%
1763053780,66.40%,350.8MiB / 15.56GiB,2.20%
1763053782,120.13%,365.9MiB / 15.56GiB,2.30%
1763053785,33.36%,367.4MiB / 15.56GiB,2.31%
1763053787,37.29%,354MiB / 15.56GiB,2.22%
1763053790,34.34%,355.2MiB / 15.56GiB,2.23%
1763053792,50.21%,355.5MiB / 15.56GiB,2.23%
1763053795,43.66%,355.5MiB / 15.56GiB,2.23%
1763053798,48.65%,355MiB / 15.56GiB,2.23%
1763053800,58.38%,356MiB / 15.56GiB,2.23%
1763053803,18.29%,355.7MiB / 15.56GiB,2.23%
1763053805,25.39%,355.7MiB / 15.56GiB,2.23%
1763053808,9.84%,355.1MiB / 15.56GiB,2.23%
1763053810,5.43%,355.4MiB / 15.56GiB,2.23%
1763053813,0.75%,355.7MiB / 15.56GiB,2.23%
1763053816,0.05%,354.4MiB / 15.56GiB,2.22%
1763053819,0.05%,354.2MiB / 15.56GiB,2.22%
1763053821,0.06%,354.5MiB / 15.56GiB,2.22%
1763053824,0.05%,354.5MiB / 15.56GiB,2.22%
1763053826,0.07%,354.2MiB / 15.56GiB,2.22%
1763053829,0.09%,354.5MiB / 15.56GiB,2.22%
